"Gene_ID	Control001	Control003	Control004	Control005	Control006	Control007	Control008	Convalescent001	Convalescent002	Convalescent003	Convalescent004	Convalescent005	LongCOVID001	LongCOVID002	LongCOVID003	LongCOVID004	LongCOVID005	LongCOVID006	LongCOVID007	LongCOVID008	LongCOVID009	LongCOVID010	LongCOVID011"
"Group	Control	Control	Control	Control	Control	Control	Control	Convalescent	Convalescent	Convalescent	Convalescent	Convalescent	LongCovid	LongCovid_BrainFog	LongCovid	LongCovid	LongCovid	LongCovid	LongCovid	LongCovid_BrainFog	LongCovid_BrainFog	LongCovid_BrainFog	LongCovid_BrainFog"
"ENSG00000004776	0	1.04172	0	1.09011	0	0	0	0	1.37644	0	0.768236	0.632874	0.54622	0.641161	0	0.430332	0.632874	0	0.693147	0	0	0	0"
"ENSG00000004777	1.11047	2.37833	2.30388	2.47401	2.14463	1.66658	1.92226	1.96034	1.37807	1.90964	1.5032	1.96966	2.26365	2.38723	2.0513	1.92414	1.87258	2.43247	1.71524	2.38425	1.91784	2.04708	1.74912"
"ENSG00000004779	6.27541	6.36759	6.19708	6.35364	6.2196	6.47299	6.52673	6.16228	6.63901	6.44193	6.5801	6.49462	6.24691	6.12287	6.13	6.48638	6.35752	6.13672	6.44859	6.3209	6.73116	6.17364	6.51332"
"ENSG00000004799	5.46936	5.17759	4.27363	6.11799	6.36486	3.29078	3.69865	5.90689	5.47302	6.12659	5.18729	6.64311	6.07717	4.39807	6.75894	4.92788	5.8231	5.03894	5.88242	5.32037	4.94268	4.73961	7.38697"
"ENSG00000004809	3.80147	3.58098	2.62136	3.22941	4.12282	2.14789	3.26862	3.71596	2.6469	3.14864	4.07386	3.24766	3.72182	3.6366	3.49302	5.19459	3.84992	3.70866	2.59326	1.45723	4.11036	0	3.71633"
"ENSG00000004838	3.60826	2.81492	3.53008	2.79895	2.72035	3.24564	3.03525	2.74089	3.319	3.02986	3.37649	3.20704	3.67089	3.04749	3.6366	2.82981	3.41066	3.55488	3.48743	2.56912	1.44712	1.79315	2.38937"
"ENSG00000004846	0	0	0	0	0	0.693147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0"
"ENSG00000004848	0	0	0	0	0	0	0	0	0	0	0	0	0	0.477849	0	0	0	0	0	0	0	0	0"
"ENSG00000004864	4.57892	4.81837	4.30662	4.68722	4.87824	4.26034	4.3721	4.85455	4.69959	4.43574	4.3659	4.83807	4.52511	4.89963	4.94851	4.81727	4.26651	4.81112	4.80864	4.54749	4.48398	4.8703	5.19922"
"ENSG00000004866	5.143	5.35353	4.84963	5.29248	5.31701	5.12735	4.79393	5.69001	5.40336	5.42073	6.02961	4.96212	5.23237	5.45314	5.57357	5.17777	5.4308	5.47894	5.86607	5.23731	5.23052	5.26385	5.43805"
"ENSG00000004897	6.1681	6.01962	5.9094	6.01783	6.01296	5.90313	6.14887	6.03629	6.36327	6.3402	6.35233	5.96629	6.01257	6.32159	5.93628	6.03403	6.13174	6.1974	6.0101	6.13506	6.14829	6.07925	6.63636"
"ENSG00000004939	0	1.03549	0	0.213954	0.942432	0	0.699007	2.20401	0	0	0	0	0	1.81592	0.439327	0	1.43661	0.945379	0.689114	0	0	0	0"
"ENSG00000004948	0	0.632874	0	0	0	0	0	0.689568	0	0	1.11361	0	0	0	0	0	0	0	0	0	0	0	0"
"ENSG00000004961	5.98823	5.56152	5.65594	6.26953	5.94612	5.98074	5.96884	6.19754	5.96413	6.01338	6.07925	6.01477	5.76435	5.55215	5.92797	6.07143	5.8874	6.07822	6.10538	5.62984	6.0435	5.72307	5.96737"
"ENSG00000004975	6.52611	6.51196	6.5904	6.3402	6.52481	6.05058	5.79775	6.2807	6.3791	6.44613	6.32637	6.41638	6.25255	6.30296	6.47126	6.45412	6.49929	6.46249	6.35025	6.62897	5.71218	6.62159	5.77043"
"ENSG00000005001	0	1.39836	1.42903	0.19368	0.942113	0.693147	0	0	0	0.549139	0	0	0	0.764149	1.05031	1.73032	0	0.632874	0	1.20002	0	0	0.699007"
"ENSG00000005007	6.73626	6.6807	6.79755	6.65555	6.95265	6.97056	6.90854	6.72672	6.36377	6.67458	6.48581	6.57618	6.77957	6.82521	6.98924	6.69273	6.76132	6.73957	6.82565	6.70609	6.85976	6.74772	7.21768"
"ENSG00000005020	7.0905	6.78049	6.36879	7.24862	6.85562	6.44819	6.70917	7.14154	7.44146	7.31571	7.21337	6.83239	7.142	6.77982	6.96176	7.0565	6.84294	7.08828	6.8868	6.34668	6.45216	6.76274	6.64532"
"ENSG00000005022	8.54009	8.58256	8.44452	8.52362	8.35454	8.65871	8.66188	8.38465	8.6114	8.29537	8.56205	8.65421	8.42227	8.42551	8.37374	8.50538	8.43908	8.41755	8.64233	8.5306	8.70112	8.64635	8.53664"
"ENSG00000005059	7.83792	7.52084	7.64738	7.53626	7.52418	7.69296	7.7281	7.31985	7.89248	7.49492	7.69143	7.83435	7.44799	7.45587	7.4271	7.52667	7.65025	7.44216	7.58783	7.88913	7.92663	7.71615	8.01638"
"ENSG00000005073	0	0	0	0	0	0	0	0	0	0.637017	0	0	0	0.602598	0	0	0	0	0	0	0	0	0"
"ENSG00000005075	6.99641	6.87627	6.82418	6.75917	6.85149	7.04656	6.9897	6.83631	6.92272	6.9244	7.0304	7.17366	6.98709	6.7278	6.57833	7.08474	6.91324	6.86691	6.96422	7.11477	7.35716	7.07044	7.08603"
"ENSG00000005100	3.36504	3.49499	3.89032	3.66235	3.69459	3.81482	2.98537	3.6679	3.77425	3.46519	3.37279	3.78444	3.6631	3.51524	3.69545	3.98768	3.38578	3.57539	3.61631	3.60612	3.23178	3.66458	3.44316"
"ENSG00000005102	3.63354	2.26446	3.72107	2.26719	2.65143	2.01094	2.72341	3.45273	1.39384	3.39396	2.85278	3.52346	3.42578	3.21245	4.02242	4.14115	4.03638	3.22438	3.48521	4.58488	3.37523	4.28594	2.48292"
"ENSG00000005108	0	0.571995	0	0	0	0	0	0	0	0	0	0	0	0	0.563969	0	0	0.693147	0	0	0.693147	0	0"
"ENSG00000005156	5.7891	5.71237	5.73356	6.01072	6.02382	5.63039	5.44031	5.74174	5.58434	5.82718	5.6361	5.43626	5.58261	5.50307	5.77291	5.78724	5.87266	5.78243	5.56977	5.58202	4.92554	5.69773	5.05217"
"ENSG00000005175	6.10683	5.55125	5.68377	5.76129	5.71171	5.41986	5.6155	5.77937	6.02961	5.83325	5.86928	5.90299	5.61038	5.48741	5.79646	5.7666	5.82223	5.82677	5.60252	5.70027	5.09153	5.48992	5.35594"
"ENSG00000005187	4.06483	4.44194	4.27396	4.35825	3.82557	3.28057	4.22318	4.42089	3.88719	4.10766	3.8267	4.24183	3.62481	4.05029	4.2938	3.81823	3.99631	4.72925	4.1335	4.41115	4.33195	4.11654	3.52773"
"ENSG00000005189	1.9327	2.48431	2.0447	2.60146	2.80719	2.27133	2.61589	3.0252	1.91784	1.9177	2.49462	2.98332	2.73037	2.10435	3.06205	2.53743	3.09046	2.52306	3.10834	2.38095	2.81531	2.86628	2.87004"
"ENSG00000005194	7.32176	7.36107	7.56735	7.33344	7.3582	7.014	6.98709	7.38136	7.27235	7.272	7.38479	7.35916	7.22	7.04344	7.26282	7.22349	7.22216	7.24324	7.31099	7.43742	7.35028	7.24007	7.44673"
"ENSG00000005206	6.35736	6.65539	6.68924	6.43385	6.48096	6.2807	6.33016	6.4022	6.70211	6.26367	5.80068	6.23493	6.66415	6.37764	6.42773	6.43033	6.47009	6.29432	6.3514	6.283	6.22808	6.31712	5.9956"
"ENSG00000005238	5.72821	6.04431	5.76823	6.26248	6.11718	6.24825	6.25598	6.29799	5.72849	5.8211	6.05419	6.06952	6.0996	5.89866	5.95266	6.2286	6.04766	6.0857	5.91217	5.56591	6.53899	5.60803	6.40178"
"ENSG00000005243	4.73078	4.25075	3.85453	4.5053	3.94437	4.24485	4.18596	4.11654	4.05956	4.04829	4.50092	4.03392	4.16768	4.5426	4.40148	4.0865	4.1785	4.3585	4.27723	4.79393	4.70198	4.59259	4.42089"
"ENSG00000005249	5.76684	5.30076	5.9249	6.85068	6.14829	5.32738	6.09578	7.56683	7.9788	7.31707	8.07742	6.55145	7.10912	6.20865	6.68752	6.33965	7.07819	6.28424	7.93116	7.1626	6.13806	5.73248	6.67543"
"ENSG00000005302	7.43648	7.23438	7.32661	7.44846	7.38421	7.05826	7.03533	7.38479	7.20151	7.18147	7.00385	7.15473	7.19213	7.04745	7.22216	7.10969	7.22622	7.23966	6.966	7.27774	6.69836	7.30349	6.66765"
"ENSG00000005339	5.81334	6.1014	6.03163	5.62543	5.81288	6.27807	6.14946	5.8079	5.74365	5.82395	5.50944	5.76823	5.69448	6.24792	5.86763	5.88656	5.58366	5.67128	5.49536	5.69773	5.98555	6.13672	6.47474"
"ENSG00000005379	5.69142	5.56344	5.90085	5.19732	5.3476	5.91748	5.40151	5.50171	5.30922	5.35471	6.00237	4.7085	5.60239	6.0395	5.74707	4.88676	4.96475	5.83187	5.12028	5.07174	5.33172	5.10145	5.60397"
"ENSG00000005381	5.04282	6.1259	5.20992	5.75772	5.69801	4.97383	4.9077	5.5644	4.92313	5.10709	4.29335	4.96475	4.92501	4.35833	5.09852	5.33102	4.84043	4.88177	4.96212	3.83403	5.18863	4.93695	4.83993"
"ENSG00000005421	0	0	0	0	0	0	0	0	0	0	1.08791	0	0	0	0	0	0	0	0	0	0	0	0"
"ENSG00000005436	5.83077	5.26325	5.24564	5.07105	5.12028	5.11272	5.30161	4.88532	5.88573	5.46812	5.23762	5.2979	5.10957	5.34663	5.29152	5.2387	4.93663	5.07602	5.08308	5.38955	4.83063	5.25324	5.37101"
"ENSG00000005448	6.63281	6.67073	7.03321	6.19527	6.51431	6.34189	6.49929	6.23857	6.71946	6.56923	6.70674	6.69189	6.58265	6.58883	6.81543	6.5127	6.82214	6.44968	6.77722	6.88739	6.61571	6.61312	6.04039"
"ENSG00000005469	4.61382	4.02685	4.40186	4.3984	4.33461	4.37677	4.33658	4.51586	3.87978	4.84656	4.76503	4.48656	4.27822	5.02932	4.78344	4.21744	4.59469	5.01887	4.1867	4.53296	4.23376	4.70996	4.11555"
"ENSG00000005471	2.57677	3.76506	3.48879	3.44286	3.92265	2.71912	3.15415	4.3759	4.89793	2.75243	3.77149	3.80483	2.93469	3.47978	4.19679	3.22511	3.41493	3.77319	4.09128	3.49302	2.73851	4.20042	2.17601"
"ENSG00000005483	8.24168	8.08369	8.15589	8.01482	8.02136	8.49115	8.50714	8.04112	8.2084	8.07908	7.86385	7.9339	8.02453	8.15013	8.00435	7.95591	7.93116	8.08586	7.91355	8.25882	8.22887	8.28274	8.77411"
"ENSG00000005486	7.89338	8.03213	7.9013	7.51832	7.60195	8.53875	8.72362	7.55517	7.61506	7.69359	7.75112	7.70297	7.81357	7.92663	7.62021	7.75635	7.54142	7.56683	7.9619	8.26332	8.76667	7.96986	8.74745"
"ENSG00000005513	3.32672	2.44969	3.59366	2.26621	3.18721	3.8864	5.44008	2.27705	2.05	3.2801	1.62978	2.7028	2.64651	2.55084	3.0948	3.1899	3.01824	2.54523	2.66929	2.75291	3.23302	3.0186	3.35359"
"ENSG00000005700	5.72476	5.72115	5.39812	5.62287	5.67479	5.39293	5.50979	5.6371	5.12592	5.51747	5.29106	5.6919	5.62238	5.68471	5.67492	5.67772	5.57428	5.68432	5.374	5.60347	5.32851	5.79959	5.39598"
"ENSG00000005801	5.82395	5.51391	5.95343	5.47545	5.62033	6.35364	6.37648	5.53498	5.70187	5.60587	5.78654	5.93153	5.76497	5.87639	5.65224	5.59705	5.55887	5.79258	5.71272	5.69142	6.01361	5.77835	6.17089"
"ENSG00000005810	6.45753	6.59311	6.7552	6.27592	6.69836	6.9322	6.69396	6.44009	6.84038	6.68352	6.41162	6.33615	6.45483	6.69561	6.44789	6.44952	6.41046	6.36841	6.52334	6.65913	6.33197	6.72351	6.26856"
"ENSG00000005812	6.3367	6.10316	6.09153	6.50796	6.25269	7.2587	7.26143	6.69189	5.85081	6.75321	6.14491	6.3511	6.19708	6.48811	6.45893	5.99494	6.7571	6.6559	6.00939	6.44718	7.04827	6.27153	7.31941"
"ENSG00000005844	8.70808	8.77887	8.57379	8.49858	8.62845	8.24168	7.89338	8.52188	8.063	8.60007	8.28035	8.15091	8.38619	8.78599	8.81361	8.33314	8.60275	8.99023	8.16482	8.4802	7.97138	8.68002	8.23626"
"ENSG00000005882	7.39296	7.38136	7.28371	6.97239	7.00771	6.68851	6.48854	6.84088	6.9981	7.09699	7.08327	7.14111	7.29503	7.09742	7.16366	7.12951	7.13773	7.09862	7.07864	7.28321	6.65088	7.15438	6.25767"
"ENSG00000005884	3.94072	3.5358	3.50536	2.73115	3.50657	3.63331	3.21125	2.644	2.05033	3.89137	3.1899	3.07366	3.4554	3.43362	4.01594	3.63779	3.95771	3.319	3.68121	3.13679	2.94715	4.02381	2.80605"
"ENSG00000005889	6.46677	6.39358	6.34849	6.322	6.17215	6.61125	6.57813	5.7707	6.38335	6.11883	5.81778	6.34224	6.42924	6.77051	6.45852	6.41456	6.29432	5.90178	5.68064	6.61826	6.37725	6.89594	6.60781"
